"Story","Title","Result","Date","Stability","Duration (s)"
"Stores crud test","This will create a new store","SUCCESS","2023-01-03T16:01:11.144Z[Europe/London]","0.0","0.13"
"Stores crud test","Verify store was added ","SUCCESS","2023-01-03T16:01:11.276Z[Europe/London]","0.0","0.05"
"Stores crud test","This test will Update the services information","SUCCESS","2023-01-03T16:01:11.327Z[Europe/London]","0.0","0.1"
"Stores crud test","Delete the store by ID","SUCCESS","2023-01-03T16:01:11.427Z[Europe/London]","0.0","0.04"
