"Story","Title","Result","Date","Stability","Duration (s)"
"Products crud test","This will create new product","SUCCESS","2023-01-03T16:01:04.689Z[Europe/London]","0.0","4.5"
"Products crud test","Verify Product was added","SUCCESS","2023-01-03T16:01:09.216Z[Europe/London]","0.0","0.08"
"Products crud test","Verify Product was Updated","SUCCESS","2023-01-03T16:01:09.293Z[Europe/London]","0.0","0.08"
"Products crud test","Verify product was deleted","SUCCESS","2023-01-03T16:01:09.375Z[Europe/London]","0.0","0.03"
